Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,XLRE,XLC
1998-12-31,19.319095611572266,14.52868366241455,11.685772895812988,11.320430755615234,17.585922241210938,15.321431159973145,12.152565956115723,24.343862533569336,11.995336532592773,,
1999-01-31,20.31278419494629,14.336418151855469,10.91923713684082,11.516658782958984,18.431398391723633,15.155739784240723,11.70215129852295,28.21462631225586,11.69777774810791,,
1999-02-28,20.185684204101562,14.185946464538574,10.825373649597168,11.69777774810791,18.45253562927246,15.292189598083496,11.884048461914062,25.416488647460938,11.3754243850708,,
1999-03-31,21.16765594482422,14.169123649597168,12.3557710647583,12.076909065246582,18.938684463500977,15.613396644592285,12.097835540771484,27.30522918701172,10.657783508300781,,
1999-04-30,21.722888946533203,13.675052642822266,14.184807777404785,12.924416542053223,19.615079879760742,17.961278915405273,15.087533950805664,27.46845817565918,11.68736457824707,,
1999-05-31,20.73969078063965,13.532690048217773,13.87865924835205,12.145018577575684,19.012664794921875,17.609100341796875,13.714364051818848,27.561735153198242,11.824651718139648,,
1999-06-30,22.076435089111328,13.7716646194458,14.16199016571045,12.6719388961792,19.847583770751953,18.689434051513672,14.506896018981934,30.20829963684082,12.311544418334961,,
1999-07-31,20.431711196899414,13.258803367614746,14.430232048034668,11.897961616516113,19.255748748779297,18.00376319885254,14.341242790222168,29.858522415161133,12.349207878112793,,
1999-08-31,19.64409828186035,13.485807418823242,14.58802604675293,11.374395370483398,18.389129638671875,18.150691986083984,13.696109771728516,30.907835006713867,11.759055137634277,,
1999-09-30,19.35896110534668,12.269234657287598,13.917113304138184,10.78052043914795,18.13548469543457,18.057083129882812,13.26657772064209,30.77958106994629,12.05811882019043,,
1999-10-31,21.075634002685547,13.389988899230957,13.711048126220703,12.455460548400879,19.0549373626709,17.6645450592041,13.581409454345703,31.712303161621094,12.121381759643555,,
1999-11-30,21.087228775024414,13.43212604522705,13.687272071838379,11.907295227050781,19.27686882019043,17.27200698852539,13.389012336730957,34.82524490356445,11.722818374633789,,
1999-12-31,23.08797836303711,12.4572114944458,13.783280372619629,11.622431755065918,21.016128540039062,18.670515060424805,14.938264846801758,40.20078659057617,11.466525077819824,,
2000-01-31,20.219385147094727,12.567073822021484,13.894567489624023,11.278573036193848,20.4846134185791,17.143381118774414,13.11159610748291,37.72904586791992,11.26278305053711,,
2000-02-29,19.092870712280273,11.096548080444336,13.306355476379395,10.07124137878418,19.145198822021484,16.197538375854492,11.794291496276855,41.693172454833984,9.89393138885498,,
2000-03-31,21.794824600219727,11.513697624206543,14.961986541748047,11.91049861907959,20.867311477661133,18.452335357666016,12.984254837036133,45.19091796875,10.974714279174805,,
2000-04-30,21.341014862060547,12.124149322509766,14.738666534423828,12.025535583496094,20.622812271118164,18.718908309936523,12.552916526794434,41.04023742675781,11.693105697631836,,
2000-05-31,20.18902015686035,12.988943099975586,16.469348907470703,12.293964385986328,20.070030212402344,18.639923095703125,12.156779289245605,36.77300262451172,11.667444229125977,,
2000-06-30,19.096757888793945,13.724278450012207,15.563268661499023,11.6976900100708,20.112564086914062,17.906789779663086,11.117229461669922,40.43397521972656,11.271139144897461,,
2000-07-31,19.39988136291504,13.222901344299316,14.970220565795898,12.728930473327637,19.814903259277344,18.183799743652344,11.214520454406738,38.2886962890625,11.445629119873047,,
2000-08-31,18.595441818237305,13.061437606811523,16.60508918762207,14.021836280822754,20.516502380371094,19.9843692779541,11.47099781036377,42.18284606933594,11.891565322875977,,
2000-09-30,18.61821937561035,13.640006065368652,16.87809944152832,14.326665878295898,19.77239227294922,19.40397834777832,10.346477508544922,34.60441207885742,13.462953567504883,,
2000-10-31,18.384469985961914,14.586868286132812,16.41932487487793,14.203166007995605,20.070030212402344,19.84048080444336,11.253902435302734,32.6223258972168,14.244926452636719,,
2000-11-30,17.92864990234375,15.090166091918945,15.558114051818848,13.477560997009277,18.241621017456055,19.165895462036133,10.969218254089355,25.92997932434082,14.238408088684082,,
2000-12-31,19.192096710205078,15.639077186584473,17.146516799926758,14.627572059631348,18.542604446411133,19.92306900024414,12.514662742614746,23.36496925354004,14.044111251831055,,
2001-01-31,21.42390251159668,14.498819351196289,16.600156784057617,14.592864990234375,19.883129119873047,19.999574661254883,12.180575370788574,27.832759857177734,13.253829002380371,,
2001-02-28,19.8941650390625,14.586427688598633,16.39866065979004,13.611080169677734,19.50206184387207,18.801000595092773,12.33830451965332,20.900684356689453,13.528899192810059,,
2001-03-31,19.60407066345215,13.574759483337402,15.909443855285645,13.20339584350586,18.253341674804688,17.000442504882812,11.7204008102417,18.505420684814453,13.334955215454102,,
2001-04-30,20.513254165649414,13.838342666625977,17.552200317382812,13.68099594116211,19.600910186767578,18.944082260131836,12.970504760742188,21.49762725830078,13.978480339050293,,
2001-05-31,21.001665115356445,14.041522979736328,17.38637351989746,14.28296184539795,20.34955406188965,19.736875534057617,13.469368934631348,20.61713218688965,14.076498031616211,,
2001-06-30,20.836294174194336,13.39206600189209,15.801934242248535,14.180749893188477,20.11966896057129,18.517366409301758,13.004496574401855,21.02007293701172,13.370203971862793,,
2001-07-31,21.76251220703125,13.799720764160156,15.619697570800781,14.045924186706543,19.717954635620117,18.478931427001953,12.969130516052246,19.56500244140625,13.250016212463379,,
2001-08-31,19.85735511779785,13.865828514099121,14.958467483520508,13.1171875,18.717086791992188,17.844593048095703,12.916070938110352,17.17721176147461,12.777875900268555,,
2001-09-30,17.349056243896484,13.849119186401367,13.518966674804688,12.378091812133789,16.007003784179688,15.230023384094238,11.386235237121582,14.364086151123047,12.655755043029785,,
